Frame,PersonCount
1,21
2,20
3,19
4,20
5,20
6,17
7,19
8,20
9,21
10,17
11,18
12,18
13,19
14,18
15,22
16,21
17,21
18,21
19,22
20,26
21,21
22,21
23,20
24,20
25,17
26,18
27,22
28,24
29,21
30,23
31,22
32,19
33,20
34,20
35,20
36,20
37,19
38,20
39,20
40,19
41,19
42,20
43,18
44,20
45,18
46,20
47,17
48,17
49,21
50,21
51,20
52,19
53,22
54,22
55,24
56,22
57,21
58,20
59,22
60,24
61,24
62,22
63,23
64,23
65,24
66,24
67,25
68,22
69,22
70,24
71,22
72,23
73,24
74,25
75,24
76,24
77,26
78,22
79,21
80,21
81,21
82,22
83,21
84,22
85,24
86,23
87,24
88,23
89,23
90,24
91,23
92,25
93,23
94,22
95,22
96,19
97,19
98,22
99,23
100,22
101,23
102,22
103,24
104,21
105,24
106,22
107,21
108,24
109,22
110,21
111,22
112,21
113,23
114,23
115,24
116,21
117,22
118,19
119,20
120,20
121,21
122,21
123,22
124,26
125,26
126,25
127,25
128,25
129,21
130,23
131,22
132,23
133,22
134,23
135,23
136,24
137,23
138,22
139,19
140,18
141,20
142,22
143,23
144,24
145,26
146,24
147,23
148,23
149,23
150,25
151,22
152,21
153,19
154,20
155,23
156,23
157,23
158,23
159,23
160,22
161,23
162,23
163,25
164,23
165,23
166,22
167,22
168,23
169,25
170,24
171,26
172,24
173,23
174,23
175,22
176,22
177,24
178,22
179,23
180,23
181,22
182,21
183,20
184,22
185,24
186,24
187,23
188,23
189,24
190,25
191,26
192,26
193,25
194,25
195,24
196,26
197,25
198,24
199,22
200,23
201,20
202,23
203,23
204,21
205,23
206,22
207,21
208,19
209,21
210,19
211,16
212,16
213,14
214,15
215,17
216,16
217,18
218,20
219,19
220,22
221,22
222,22
223,20
224,20
225,19
226,18
227,18
228,17
229,17
230,17
231,18
232,17
233,18
234,16
235,16
236,16
237,15
238,16
239,16
240,15
241,15
242,14
243,13
244,15
245,14
246,15
247,15
248,15
249,13
250,15
251,13
252,16
253,15
254,18
255,19
256,17
257,17
258,18
259,17
260,17
261,18
262,19
263,20
264,16
265,15
266,17
267,17
268,16
269,18
270,15
271,15
272,15
273,16
274,18
275,15
276,15
277,15
278,15
279,15
280,14
281,15
282,18
283,18
284,19
285,19
286,19
287,19
288,19
289,18
290,20
291,18
292,17
293,18
294,15
295,16
296,18
297,16
298,18
299,16
300,15
301,15
302,16
303,18
304,17
305,15
306,17
307,16
308,17
309,17
310,19
311,19
312,19
313,20
314,16
315,18
316,18
317,20
318,19
319,18
320,19
321,17
322,20
323,20
324,21
325,20
326,22
327,23
328,21
329,21
330,17
331,23
332,20
333,21
334,24
335,24
336,23
337,19
338,20
339,20
340,21
341,19
